K,Rem,prandtl,nusselt
1.2,5994.113792232537,0.7075155229183749,88.83969086641659
1.2,5986.772393332333,0.7074660543416014,88.78311833796771
1.2,5979.115835085968,0.7074144019300216,88.71627426994367
1.2,5971.163171889384,0.7073609131195843,88.65162445613885
1.2,5962.915493141953,0.7073053718731864,88.58797397425018
1.2,5954.3739265588365,0.707247900382653,88.5158328631926
1.2,5945.48602456475,0.7071881725615461,88.43111629891696
1.2,5936.32459909558,0.7071265356007855,88.36927713683994
1.2,5997.294487721541,0.7070725954138036,85.77364690686152
1.2,5926.890820300728,0.7070629999635261,88.29893264546087
1.2,5987.042021583453,0.7070054830735917,85.69977934699212
1.2,5917.150302580867,0.7069975764083706,88.20759928953353
1.2,5976.481819890677,0.7069363887909316,85.61727841980624
1.2,5998.626581914135,0.7070881099648361,86.88782204156902
1.2,5907.122209920708,0.706930164853229,88.13039791517265
1.2,5965.597444691003,0.7068652139300455,85.53315530230476
1.2,5989.813798401836,0.7070280994331043,86.8165641097359
1.2,5896.772418724435,0.7068607773033274,88.05248888733786
1.2,5954.390535261302,0.7067988797059003,85.4492644587021
1.2,5980.7429365093285,0.7069664128101038,86.7421015984971
1.2,5886.155620325715,0.7067971930518191,87.97030628739995
1.2,5942.982039550477,0.706746802981483,85.37362268830505
1.2,5971.433040157936,0.7069031703974415,86.66996180405089
1.2,5990.4904081214245,0.7068100760411846,85.81328362164673
1.2,5875.280870323938,0.7067464969912628,87.88118153768504
1.2,5931.450125601301,0.7066933157332241,85.2855515030503
1.2,5961.831341193735,0.7068379377090407,86.59463189197595
1.2,5979.9016560763375,0.7067613421408249,85.73966146528242
1.2,5864.328413171488,0.7066943079499614,87.79763170616812
1.2,5919.572812836336,0.7066381996901229,85.20614574772324
1.2,5952.028675053449,0.7067846236477319,86.51086979216176
1.2,5969.272227679131,0.7067115640127515,85.66378987925235
1.2,5853.136057374752,0.7066410171222784,87.7140080468614
1.2,5907.438675769488,0.7065819986130062,85.11088928353658
1.2,5941.972325465451,0.7067373191504526,86.44038063072024
1.2,5958.45788236853,0.7066605200619405,85.57700874188899
1.2,5841.653595487935,0.7065864046088518,87.62053636381515
1.2,5894.997205562586,0.706524342058218,85.02733767545338
1.2,5995.945483756665,0.7068794149709474,89.00192843778723
1.2,5931.8980334762255,0.706688965743342,86.36264616720314
1.2,5947.398731369652,0.7066082950480339,85.50131324082153
1.2,5829.89967827992,0.7065304802118495,87.53562279421365
1.2,5882.25014685439,0.7064654681798812,84.92533116305067
1.2,5987.222536589959,0.7068198763177882,88.92855109288018
1.2,5921.602816676697,0.7066393418512066,86.2820909091945
1.2,5936.043717623704,0.7065548214838476,85.41518440869572
1.2,5817.858691537519,0.7064733295440351,87.44554881049936
1.2,5869.21652859439,0.7064051607390688,84.83397859869135
1.2,5978.2772059024,0.7067759669557282,88.86295177975812
1.2,5911.080238063448,0.7065887598806133,86.19932506024982
1.2,5924.463951382084,0.7065002598346333,85.32749880583174
1.2,5805.566347247679,0.7064148868346833,87.34673658454524
1.2,5855.880856175932,0.7063435067971201,84.74055155450634
1.2,5969.146336839561,0.7067328844882486,88.79265366880607
1.2,5900.331387870237,0.7065369990436311,86.1177055988771
1.2,5912.608517171175,0.706444467258245,85.23800954800973
1.2,5792.99003461876,0.7063552377032285,87.25140210117718
1.2,5842.26216173387,0.7062806678100314,84.63826983149264
1.2,5959.968777053055,0.7066888131268706,88.71742644782711
1.2,5889.340081968277,0.7064841432831825,86.03350857622345
1.2,5900.496238207348,0.7063875285057024,85.15021107429708
1.2,5780.148406165425,0.7062943171338183,87.15515119796304
1.2,5828.345086735987,0.7062164299488493,84.53777103367756
1.2,5950.63791999259,0.70664360641497,88.65034257564241
1.2,5878.07300459184,0.7064300496167953,85.94593093618425
1.2,5888.093924255206,0.7063292272171662,85.05304164674818
1.2,5766.992176944694,0.7062319862750763,87.04990788272487
1.2,5814.097341131636,0.7061507312071233,84.4283407582305
1.2,5941.145403534506,0.7065977272947096,88.57317718789976
1.2,5866.617758262569,0.7063749530516575,85.86652929135029
1.2,5875.455037106783,0.7062698740825505,84.9677849691031
1.2,5753.5909736957465,0.7061685557715275,86.94553319119731
1.2,5799.589383255813,0.7060838823438734,84.32476707764171
1.2,5931.457101844833,0.7065509524711349,88.4950251281401
1.2,5854.9409277502,0.7063189363787403,85.77222780616795
1.2,5862.598196807623,0.7062094031435692,84.87115575851026
1.2,5739.929455591886,0.7061038867403971,86.8465693193707
1.2,5784.788919889883,0.7060158202609293,84.22233465178184
1.2,5921.556488039261,0.7065032119680745,88.4187701395244
1.2,5843.0093529079695,0.7062617071989163,85.68152870180359
1.2,5849.455872414808,0.7061478239120218,84.77566744155146
1.2,5726.009301153668,0.7060381388850755,86.74046368827202
1.2,5769.731965604899,0.7059464829088979,84.1121608770658
1.2,5911.461876889979,0.7064544365406586,88.34094001829716
1.2,5830.8415790769095,0.7062034993007024,85.59136188302757
1.2,5836.081310736654,0.7060851460441985,84.6755506833954
1.2,5711.832215293761,0.7059711005106382,86.6303638932604
1.2,5754.36947911425,0.7058758829788417,84.00031501114015
0.3,5711.71413940648,0.7073179564444717,115.14508235866816
0.3,5190.808435789515,0.7070741577156254,110.74058217761078
0.3,4702.621815127237,0.7068263019861121,104.52984253624663
0.3,4355.506730224044,0.7066495476464718,102.88482497071055
0.3,4081.076204527327,0.7064749928672993,99.08286998254692
0.3,4023.496944886285,0.7063004694764725,97.2394580280489
0.324,5758.118472804559,0.7073061582754037,112.34124981738204
0.324,5015.4654257791735,0.7070702520932667,105.05458612186308
0.324,4793.006984130523,0.7068239753127025,95.65136157659974
0.324,4402.888502519948,0.7066582337152835,97.2329594240409
0.324,4055.4130408701735,0.7064880011541904,92.80019082634564
